,Name,Marketcap,Price,Circ. Supply,Blockchain,24h Change,7d Change
359,Bitcoin Rhodium XRC , 7.41M,0, 835.48K, Own Blockchain,0,0
360,CWV Chain CWV , 7.4M,0, 3.54B, Ethereum (ERC20),0,0
361,Levolution LEVL , 7.34M,0, 23.88M, Ethereum (ERC20),0,0
362,Burst BURST , 7.33M,0, 2.07B, Own Blockchain,0,0
363,Time New Bank TNB , 7.3M,0, 2.93B, Own Blockchain,0,0
364,Hydro HYDRO , 7.21M,0, 10.78B, Ethereum (ERC20),0,0
365,High Performance Blockchain HPB , 7.21M,0, 43.62M, Own Blockchain,0,0
366,Tokenomy TEN , 7.19M,0, 200M, Ethereum (ERC20),0,0
367,Tripio TRIO , 7.17M,0, 3.75B, Ethereum (ERC20),0,0
368,Kin KIN , 7.17M,0, 1.21T, Ethereum (ERC20),0,0
369,INT Chain INT , 7.16M,0, 379.72M, Own Blockchain,0,0
370,OST OST , 7.13M,0, 674.63M, Ethereum (ERC20),0,0
371,S4FE S4F , 7.09M,0, 267.33M, Ethereum (ERC20),0,0
372,Ruff RUFF , 7.06M,0, 980.5M, Own Blockchain,0,0
373,Darico Ecosystem Coin DEC , 7M,0, 59.85M, Ethereum (ERC20),0,0
374,TokenClub TCT , 6.99M,0, 481.43M, Ethereum (ERC20),0,0
375,Blocknet BLOCK , 6.96M,0, 6.22M, Own Blockchain,0,0
376,Quantstamp QSP , 6.81M,0, 617.31M, Ethereum (ERC20),0,0
377,TaaS TAAS , 6.81M,0, 8.15M, Own Blockchain,0,0
378,LockTrip LOC , 6.78M,0, 14.95M, Ethereum (ERC20),0,0
379,Sport and Leisure SNL , 6.77M,0, 674.67M, Ethereum (ERC20),0,0
380,IDEX IDEX , 6.74M,0, 452.79M, Ethereum (ERC20),0,0
381,Perlin PERL , 6.74M,0, 261.31M, Ethereum (ERC20),0,0
382,Eligma Token ELI , 6.73M,0, 198.51M, Ethereum (ERC20),0,0
383,RChain RHOC , 6.69M,0, 373.79M, Ethereum (ERC20),0,0
384,sUSD SUSD , 6.63M,0, 6.89M, Ethereum (ERC20),0,0
385,All Sports SOC , 6.62M,0, 1.5B, Ethereum (ERC20),0,0
386,Safex Token SFT , 6.62M,0, 1.2B, Own Blockchain,0,0
387,TOP TOP , 6.61M,0, 3.14B, Ethereum (ERC20),0,0
388,Peercoin PPC , 6.6M,0, 25.71M, Own Blockchain,0,0
389,Huobi Pool Token HPT , 6.59M,0, 949.6M, Ethereum (ERC20),0,0
390,Insolar INS , 6.57M,0, 32.5M, Ethereum (ERC20),0,0
391,ProximaX XPX , 6.54M,0, 6.1B, NEM,0,0
392,GoChain GO , 6.51M,0, 825.65M, Own Blockchain,0,0
393,PumaPay PMA , 6.45M,0, 24.18B, Ethereum (ERC223),0,0
394,Monero Classic XMC , 6.4M,0, 17.29M, Own Blockchain,0,0
395,pEOS PEOS , 6.38M,0, 828.35M, EOS,0,0
396,NAV Coin NAV , 6.35M,0, 66.5M, Own Blockchain,0,0
397,SALT SALT , 6.34M,0, 80.28M, Ethereum (ERC20),0,0
398,Restart Energy MWAT MWAT , 6.3M,0, 452.75M, Ethereum (ERC20),0,0
399,Contents Protocol CPT , 6.13M,0, 3.04B, Ethereum (ERC20),0,0
400,doc.com Token MTC , 6.11M,0, 719.23M, Ethereum (ERC20),0,0
401,STPT STPT , 6.08M,0, 686.37M, Ethereum (ERC20),0,0
402,Napoleon X NPX , 6.02M,0, 24.32M, Ethereum (ERC20),0,0
403,Red Pulse PHX , 6.02M,0, 829.59M, NEO,0,0
404,SIX SIX , 6.01M,0, 273.78M, Stellar,0,0
405,PayPie PPP , 5.98M,0, 82.5M, Ethereum (ERC20),0,0
406,AdEx ADX , 5.95M,0, 80.07M, Ethereum (ERC20),0,0
407,BidiPass BDP , 5.94M,0, 207.97M, Ethereum (ERC20),0,0
408,BORA BORA , 5.9M,0, 671.11M, Ethereum (ERC20),0,0
409,BitBay BAY , 5.85M,0, 1.01B, Own Blockchain,0,0
410,Monetha MTH , 5.81M,0, 402.4M, Ethereum (ERC20),0,0
411,Polis POLIS , 5.8M,0, 8.47M, Own Blockchain,0,0
412,Dock DOCK , 5.79M,0, 548.56M, Ethereum (ERC20),0,0
413,CommerceBlock CBT , 5.79M,0, 174.17M, Ethereum (ERC20),0,0
414,Everus EVR , 5.76M,0, 456.73M, Ethereum (ERC20),0,0
415,Humanscape HUM , 5.75M,0, 464.31M, Ethereum (ERC20),0,0
416,Sense SENSE , 5.73M,0, 508.82M, EOS,0,0
417,Poseidon Network QQQ , 5.7M,0, 2.12B, Ethereum (ERC20),0,0
418,Digix Gold Token DGX , 5.66M,0, 121.04K, Own Blockchain,0,0
419,Dusk Network DUSK , 5.65M,0, 113.49M, Ethereum (ERC20),0,0
420,FLO FLO , 5.64M,0, 152.35M, Own Blockchain,0,0
421,Nucleus Vision NCASH , 5.62M,0, 5.94B, Ethereum (ERC20),0,0
422,Invictus Hyperion Fund IHF , 5.59M,0, 119.21M, Ethereum (ERC20),0,0
423,MovieBloc MBL , 5.57M,0, 3.77B, Ethereum (ERC20),0,0
424,USDQ USDQ , 5.55M,0, 5.5M, Ethereum (ERC20),0,0
425,SingularDTV SNGLS , 5.54M,0, 600M, Ethereum (ERC20),0,0
426,Metronome MET , 5.54M,0, 9.65M, Ethereum (ERC20),0,0
427,LiquidApps DAPP , 5.53M,0, 388.3M, EOS,0,0
428,Stakenet XSN , 5.5M,0, 89.36M, Own Blockchain,0,0
429,DeepBrain Chain DBC , 5.41M,0, 3.2B, NEO,0,0
430,MetaHash MHC , 5.38M,0, 1.47B, Own Blockchain,0,0
431,Wrapped Bitcoin WBTC , 5.37M,0, 0, Ethereum (ERC20),0,0
432,Melon MLN , 5.37M,0, 1.25M, Ethereum (ERC20),0,0
433,VeriBlock VBK , 5.31M,0, 526.84M, Own Blockchain,0,0
434,Bluzelle BLZ , 5.31M,0, 210.85M, Ethereum (ERC20),0,0
435,SwissBorg CHSB , 5.29M,0, 575.82M, Ethereum (ERC20),0,0
436,LTO Network LTO , 5.21M,0, 185.73M, Ethereum (ERC20),0,0
437,IPChain IPC , 5.19M,0, 78.88M, Ethereum (ERC20),0,0
438,Cashaa CAS , 5.18M,0, 756.88M, Ethereum (ERC20),0,0
439,Numeraire NMR , 5.17M,0, 1.35M, Ethereum (ERC20),0,0
440,Rocket Pool RPL , 5.16M,0, 9.85M, Ethereum (ERC20),0,0
441,DAObet BET , 5.11M,0, 167.27M, Ethereum (ERC20),0,0
442,MenaPay MPAY , 5.06M,0, 95.4M, Ethereum (ERC20),0,0
443,Dropil DROP , 5.05M,0, 22.75B, Own Blockchain,0,0
444,SmartMesh SMT , 5.01M,0, 1.34B, Ethereum (ERC20),0,0
445,Asch XAS , 5.01M,0, 93.36M, Own Blockchain,0,0
446,Odyssey OCN , 4.99M,0, 6.68B, Ethereum (ERC20),0,0
447,DMarket DMT , 4.9M,0, 56.92M, Ethereum (ERC20),0,0
448,Steem Dollars SBD , 4.88M,0, 7.43M, Own Blockchain,0,0
449,Aergo AERGO , 4.88M,0, 103.93M, Ethereum (ERC20),0,0
450,Travala AVA , 4.87M,0, 44.3M, NEO,0,0
451,CyberVein CVT , 4.87M,0, 1.06B, Ethereum (ERC20),0,0
452,OAX OAX , 4.87M,0, 75.13M, Ethereum (ERC20),0,0
453,BOX Token BOX , 4.86M,0, 99.61M, Ethereum (ERC20),0,0
454,ARPA Chain ARPA , 4.85M,0, 376.56M, Ethereum (ERC20),0,0
455,DigitalNote XDN , 4.81M,0, 7.37B, Own Blockchain,0,0
456,Spendcoin SPND , 4.8M,0, 953.65M, Ethereum (ERC20),0,0
457,BlackCoin BLK , 4.73M,0, 63.08M, Own Blockchain,0,0
458,Genesis Vision GVT , 4.72M,0, 4.43M, Ethereum (ERC20),0,0
459,Proton Token PTT , 4.72M,0, 8.29B, Ethereum (ERC20),0,0
460,SIRIN LABS Token SRN , 4.71M,0, 491.82M, Ethereum (ERC20),0,0
461,Cosmo Coin COSM , 4.59M,0, 670.78M, Ethereum (ERC20),0,0
462,WePower WPR , 4.59M,0, 608.22M, Ethereum (ERC20),0,0
463,TERA TERA , 4.59M,0, 844.71M, Own Blockchain,0,0
464,Propy PRO , 4.57M,0, 47.77M, Ethereum (ERC20),0,0
465,Morpheus Network MRPH , 4.57M,0, 33.06M, Ethereum (ERC20),0,0
466,Snetwork SNET , 4.56M,0, 162.86M, Ethereum (ERC20),0,0
467,Cryptocean CRON , 4.54M,0, 6.47M, Ethereum (ERC20),0,0
468,Viberate VIB , 4.51M,0, 191.86M, Ethereum (ERC20),0,0
469,Band Protocol BAND , 4.42M,0, 15.66M, Ethereum (ERC20),0,0
470,U Network UUU , 4.42M,0, 6.99B, Own Blockchain,0,0
471,VIBE VIBE , 4.42M,0, 260.14M, Ethereum (ERC20),0,0
472,Viacoin VIA , 4.4M,0, 23.16M, Own Blockchain,0,0
473,SmartCash SMART , 4.39M,0, 1.41B, Own Blockchain,0,0
474,Ether Zero ETZ , 4.32M,0, 165.73M, Own Blockchain,0,0
475,Moss Coin MOC , 4.31M,0, 313.3M, Ethereum (ERC20),0,0
476,Hi Mutual Society HMC , 4.28M,0, 404.1M, Own Blockchain,0,0
477,Dero DERO , 4.27M,0, 8.41M, Own Blockchain,0,0
478,Artfinity AT , 4.22M,0, 120.28M, Ethereum (ERC20),0,0
479,SONM SNM , 4.17M,0, 359.6M, Ethereum (ERC20),0,0
480,Tidex Token TDX , 4.16M,0, 9.5M, Own Blockchain,0,0
481,Edge DADI , 4.15M,0, 71.67M, Ethereum (ERC20),0,0
482,Hubii Network HBT , 4.15M,0, 15.14M, Ethereum (ERC20),0,0
483,QunQun QUN , 4.15M,0, 649.87M, Ethereum (ERC20),0,0
484,ZelCash ZEL , 4.14M,0, 80.85M, Own Blockchain,0,0
485,STACS STACS , 4.14M,0, 520.14M, Ethereum (ERC20),0,0
486,BaaSid BAAS , 4.13M,0, 4.39B, Ethereum (ERC20),0,0
487,VITE VITE , 4.1M,0, 415.16M, Ethereum (ERC20),0,0
488,Counterparty XCP , 4.09M,0, 2.62M, Own Blockchain,0,0
489,Ethos ETHOS , 4.09M,0, 97.62M, Ethereum (ERC20),0,0
490,Aeon AEON , 4.08M,0, 15.83M, Own Blockchain,0,0
491,Jibrel JNT , 4.07M,0, 170.08M, Ethereum (ERC20),0,0
492,Metrix Coin MRX , 4.07M,0, 14.54B, Own Blockchain,0,0
493,SwftCoin SWFTC , 4.06M,0, 3.64B, Ethereum (ERC20),0,0
494,Ambrosus AMB , 4.06M,0, 144.59M, Ethereum (ERC20),0,0
495,Emercoin EMC , 4.06M,0, 44.62M, Own Blockchain,0,0
496,XinFin Network XDCE , 4.04M,0, 3.93B, Ethereum (ERC20),0,0
497,Credo CREDO , 3.98M,0, 549.89M, Own Blockchain,0,0
498,Gulden NLG , 3.97M,0, 498.48M, Own Blockchain,0,0
499,Pundi X NEM NPXSXEM , 3.93M,0, 20.72B, NEM,0,0
500,Lympo LYM , 3.93M,0, 826.67M, Ethereum (ERC20),0,0
501,Global Currency Reserve GCR , 3.92M,0, 106.51M, Own Blockchain,0,0
502,QLINK QLC , 3.92M,0, 240M, NEO,0,0
503,ZIP ZIP , 3.89M,0, 16.2B, Own Blockchain,0,0
504,Emirex Token EMRX , 3.89M,0, 22.3M, Ethereum (ERC20),0,0
505,Pepe Cash PEPECASH , 3.87M,0, 701.88M, Counterparty,0,0
506,Electra ECA , 3.87M,0, 28.61B, Own Blockchain,0,0
507,Pigeoncoin PGN , 3.87M,0, 3.78B, Own Blockchain,0,0
508,Peerplays PPY , 3.85M,0, 4.5M, Own Blockchain,0,0
509,DEX DEX , 3.84M,0, 191.54M, Ethereum (ERC20),0,0
510,VNT Chain VNT , 3.83M,0, 2.61B, Ethereum (ERC20),0,0
511,Bitcore BTX , 3.82M,0, 17.4M, Own Blockchain,0,0
512,Chimpion BNANA , 3.8M,0, 31.73M, Ethereum (ERC20),0,0
513,Wings WINGS , 3.79M,0, 96.38M, Ethereum (ERC20),0,0
514,Veil VEIL , 3.79M,0, 43.63M, Own Blockchain,0,0
515,StableUSD USDS , 3.79M,0, 3.79M, Ethereum (ERC20),0,0
516,Cajutel CAJ , 3.78M,0, 1.35M, Ethereum (ERC20),0,0
517,ChainX PCX , 3.76M,0, 2.22M, Own Blockchain,0,0
518,XYO XYO , 3.74M,0, 8.3B, Ethereum (ERC20),0,0
519,BOScoin BOS , 3.74M,0, 692.79M, Own Blockchain,0,0
520,Xaurum XAUR , 3.74M,0, 76.76M, Ethereum (ERC20),0,0
521,Neumark NEU , 3.74M,0, 37.4M, Ethereum (ERC20),0,0
522,GET Protocol GET , 3.74M,0, 11.39M, Own Blockchain,0,0
523,SelfKey KEY , 3.73M,0, 2.87B, Ethereum (ERC20),0,0
524,Swarm SWM , 3.71M,0, 78.65M, Ethereum (ERC20),0,0
525,Litex LXT , 3.7M,0, 960M, Ethereum (ERC20),0,0
526,BitMart Token BMX , 3.66M,0, 161.12M, Ethereum (ERC20),0,0
527,Sealchain SEAL , 3.66M,0, 185.81M, Ethereum (ERC20),0,0
528,Etherparty FUEL , 3.64M,0, 1000M, Ethereum (ERC20),0,0
529,Cube AUTO , 3.63M,0, 6.77B, Ethereum (ERC20),0,0
530,IntelliShare INE , 3.63M,0, 182.76M, Ethereum (ERC20),0,0
531,AppCoins APPC , 3.62M,0, 100.05M, Ethereum (ERC20),0,0
532,Infinitus Token INF , 3.61M,0, 12.92M, Ethereum (ERC20),0,0
533,PolySwarm NCT , 3.61M,0, 1.55B, Ethereum (ERC20),0,0
534,district0x DNT , 3.6M,0, 600M, Ethereum (ERC20),0,0
535,Airswap AST , 3.6M,0, 150M, Ethereum (ERC20),0,0
536,YOYOW YOYOW , 3.59M,0, 299.99M, BitShares,0,0
537,Ubiq UBQ , 3.58M,0, 42.61M, Own Blockchain,0,0
538,Scry.info DDD , 3.58M,0, 440.06M, Ethereum (ERC20),0,0
539,APIS APIS , 3.56M,0, 8.96B, Own Blockchain,0,0
540,Ondori RSTR , 3.52M,0, 37.77B, Own Blockchain,0,0
541,ERC20 ERC20 , 3.52M,0, 50M, Ethereum (ERC20),0,0
542,BOLT BOLT , 3.48M,0, 412.6M, Ethereum (ERC20),0,0
543,POA POA , 3.47M,0, 220.17M, Ethereum (ERC20),0,0
544,Rublix RBLX , 3.45M,0, 20.78M, Own Blockchain,0,0
545,Aeron ARN , 3.45M,0, 19.99M, Ethereum (ERC20),0,0
546,PlayCoin [ERC20] PLY , 3.43M,0, 987.55M, Ethereum (ERC20),0,0
547,Agrello DLT , 3.4M,0, 85.98M, Ethereum (ERC20),0,0
548,VeriDocGlobal VDG , 3.39M,0, 7.84B, Ethereum (ERC20),0,0
549,ContentBox BOX , 3.38M,0, 926.26M, Ethereum (ERC20),0,0
550,Ternio TERN , 3.34M,0, 334.16M, Stellar,0,0
551,Esportbits HLT , 3.34M,0, 20.01M, Ethereum (ERC20),0,0
552,ParkinGo GOT , 3.34M,0, 15.57M, Ethereum (ERC20),0,0
553,DATA DTA , 3.32M,0, 9.77B, Ethereum (ERC20),0,0
554,Polybius PLBT , 3.3M,0, 3.97M, Own Blockchain,0,0
555,Blockmason BCPT , 3.27M,0, 116.16M, Ethereum (ERC20),0,0
556,Color Platform CLR , 3.27M,0, 131.61M, Ethereum (ERC20),0,0
557,Feathercoin FTC , 3.27M,0, 255.53M, Own Blockchain,0,0
558,Lykke LKK , 3.26M,0, 316.81M, Own Blockchain,0,0
559,Bitsdaq BQQQ , 3.25M,0, 2.68B, Ethereum (ERC20),0,0
560,ColossusXT COLX , 3.24M,0, 11.57B, Own Blockchain,0,0
561,NIX NIX , 3.23M,0, 43.25M, Own Blockchain,0,0
562,Penta PNT , 3.23M,0, 21.01B, Own Blockchain,0,0
563,Credit Tag Chain CTC , 3.22M,0, 59.75M, Own Blockchain,0,0
564,Mobius MOBI , 3.21M,0, 515.08M, Stellar,0,0
565,FLETA FLETA , 3.21M,0, 299.16M, Ethereum (ERC20),0,0
566,Refereum RFR , 3.14M,0, 4.12B, Ethereum (ERC20),0,0
567,AXE AXE , 3.14M,0, 5.01M, Own Blockchain,0,0
568,Primas PST , 3.12M,0, 52.69M, Ethereum (ERC20),0,0
569,Kcash KCASH , 3.09M,0, 445.5M, Own Blockchain,0,0
570,Global Cryptocurrency GCC , 3.07M,0, 1.27B, Own Blockchain,0,0
571,Etheroll DICE , 3.07M,0, 7M, Ethereum (ERC20),0,0
572,WhiteCoin XWC , 3.07M,0, 250.18M, Own Blockchain,0,0
573,V-ID VIDT , 3.04M,0, 31.9M, Ethereum (ERC20),0,0
574,VideoCoin VID , 3.04M,0, 15.52M, Ethereum (ERC20),0,0
575,Game GTC , 3.04M,0, 761.44M, Ethereum (ERC20),0,0
576,POPCHAIN PCH , 3.03M,0, 892.8M, Ethereum (ERC20),0,0
577,Sentinel Protocol UPP , 3.03M,0, 311.19M, Ethereum (ERC20),0,0
578,STEM CELL COIN SCC , 3.01M,0, 320.66M, NEO,0,0
579,DAOstack GEN , 3M,0, 41.3M, Ethereum (ERC20),0,0
580,Primecoin XPM , 2.98M,0, 29.45M, Own Blockchain,0,0
581,BLOCKv VEE , 2.97M,0, 2.66B, Ethereum (ERC20),0,0
582,Krios KRI , 2.97M,0, 178.11M, Ethereum (ERC20),0,0
583,Vites VITES , 2.96M,0, 36.86B, Own Blockchain,0,0
584,Universa UTNP , 2.96M,0, 1.85B, Ethereum (ERC20),0,0
585,Lendingblock LND , 2.96M,0, 773.8M, Ethereum (ERC20),0,0
586,Genaro Network GNX , 2.95M,0, 255.87M, Ethereum (ERC20),0,0
587,Morpheus Labs MITX , 2.94M,0, 348.38M, Ethereum (ERC20),0,0
588,Eterbase Coin XBASE , 2.93M,0, 981.78M, Ethereum (ERC20),0,0
589,Ultra UOS , 2.92M,0, 90.53M, Ethereum (ERC20),0,0
590,Trade Token X TIOX , 2.92M,0, 85.16M, Ethereum (ERC20),0,0
591,Bottos BTO , 2.92M,0, 546M, Own Blockchain,0,0
592,Rotharium RTH , 2.91M,0, 3.36M, Ethereum (ERC20),0,0
593,Hydro Protocol HOT , 2.91M,0, 702M, Ethereum (ERC20),0,0
594,Amino Network AMIO , 2.91M,0, 44.49M, Ethereum (ERC20),0,0
595,Sentinel SENT , 2.9M,0, 2B, Own Blockchain,0,0
596,NPCoin NPC , 2.89M,0, 72.46M, Own Blockchain,0,0
597,QuickX Protocol QCX , 2.89M,0, 392.21M, Ethereum (ERC20),0,0
598,Change CAG , 2.88M,0, 31.67M, Ethereum (ERC20),0,0
599,Content Neutrality Network CNN , 2.88M,0, 39.04B, Own Blockchain,0,0
600,EnergiToken ETK , 2.88M,0, 1.85B, Ethereum (ERC20),0,0
601,COS COS , 2.86M,0, 174.15M, Ethereum (ERC20),0,0
602,Blue Whale Token BWX , 2.86M,0, 40.28M, Ethereum (ERC20),0,0
603,Flash FLASH , 2.85M,0, 900M, Own Blockchain,0,0
604,Stealth XST , 2.82M,0, 33.66M, Own Blockchain,0,0
605,Ulord UT , 2.81M,0, 129.39M, Own Blockchain,0,0
606,DeepOnion ONION , 2.78M,0, 16.12M, Own Blockchain,0,0
607,Global Social Chain GSC , 2.78M,0, 549.18M, Ethereum (ERC20),0,0
608,OneRoot Network RNT , 2.77M,0, 284.07M, Ethereum (ERC20),0,0
609,DreamTeam DREAM , 2.77M,0, 36.14M, Ethereum (ERC20),0,0
610,ZumCoin ZUM , 2.77M,0, 988.82M, Own Blockchain,0,0
611,Pirate Chain ARRR , 2.76M,0, 126.37M, Own Blockchain,0,0
612,Asian Fintech AFIN , 2.76M,0, 250M, Ethereum (ERC20),0,0
613,Chromia CHR , 2.76M,0, 110.98M, Ethereum (ERC20),0,0
614,Pivot Token PVT , 2.75M,0, 5.14B, Ethereum (ERC20),0,0
615,Fatcoin FAT , 2.74M,0, 134.66M, Ethereum (ERC20),0,0
616,Phantasma SOUL , 2.74M,0, 58.33M, NEO,0,0
617,MEET.ONE MEETONE , 2.73M,0, 1.91B, EOS,0,0
618,Endor Protocol EDR , 2.7M,0, 779.31M, Ethereum (ERC20),0,0
619,Delphy DPY , 2.7M,0, 62.2M, Ethereum (ERC20),0,0
620,MediShares MDS , 2.7M,0, 741.29M, Ethereum (ERC20),0,0
621,Omnitude ECOM , 2.69M,0, 64.81M, Ethereum (ERC20),0,0
622,Linkey LKY , 2.66M,0, 50M, Ethereum (ERC20),0,0
623,Nimiq NIM , 2.66M,0, 4.83B, Own Blockchain,0,0
624,YEED YEED , 2.65M,0, 5.45B, Ethereum (ERC20),0,0
625,OriginTrail TRAC , 2.65M,0, 286.93M, Ethereum (ERC20),0,0
626,Clams CLAM , 2.61M,0, 3.83M, Own Blockchain,0,0
627,bitUSD BITUSD , 2.58M,0, 3.15M, BitShares,0,0
628,Winding Tree LIF , 2.57M,0, 21.38M, Ethereum (ERC20),0,0
629,ATC Coin ATCC , 2.54M,0, 369.15M, Own Blockchain,0,0
630,Constant CONST , 2.53M,0, 50.71K, Ethereum (ERC20),0,0
631,Machine Xchange Coin MXC , 2.52M,0, 1.32B, Ethereum (ERC20),0,0
632,OKCash OK , 2.51M,0, 74.81M, Own Blockchain,0,0
633,OneLedger OLT , 2.5M,0, 354.86M, Ethereum (ERC20),0,0
634,SunContract SNC , 2.5M,0, 122.71M, Ethereum (ERC20),0,0
635,Own CHX , 2.49M,0, 99.72M, Ethereum (ERC20),0,0
636,Gold Bits Coin GBC , 2.48M,0, 105.97M, Ethereum (ERC20),0,0
637,Gene Source Code Chain GENE , 2.47M,0, 375.04M, Ethereum (ERC20),0,0
638,BitDice CSNO , 2.47M,0, 70M, Ethereum (ERC20),0,0
639,ProChain PRA , 2.47M,0, 49.56M, Own Blockchain,0,0
640,HashBX HBX , 2.46M,0, 520.69M, Ethereum (ERC20),0,0
641,TEMCO TEMCO , 2.45M,0, 3.13B, Own Blockchain,0,0
642,Futurepia PIA , 2.45M,0, 897.24M, Own Blockchain,0,0
643,ZeuxCoin ZUC , 2.44M,0, 190M, Ethereum (ERC20),0,0
644,TouchCon TOC , 2.42M,0, 233.16M, Own Blockchain,0,0
645,LinkEye LET , 2.42M,0, 600M, Own Blockchain,0,0
646,Traceability Chain TAC , 2.41M,0, 680.4M, Ethereum (ERC20),0,0
647,Vexanium VEX , 2.39M,0, 703.87M, Achain,0,0
648,Quanta Utility Token QNTU , 2.37M,0, 29.28B, Ethereum (ERC20),0,0
649,PAC Global PAC , 2.36M,0, 7.6B, Own Blockchain,0,0
650,TokenPay TPAY , 2.35M,0, 16.41M, Own Blockchain,0,0
651,BlockStamp BST , 2.34M,0, 23.41M, Own Blockchain,0,0
652,eosDAC EOSDAC , 2.33M,0, 660.76M, Own Blockchain,0,0
653,BOSAGORA BOA , 2.33M,0, 163.67M, Ethereum (ERC20),0,0
654,VINChain VIN , 2.32M,0, 590.11M, Own Blockchain,0,0
655,Skrumble Network SKM , 2.32M,0, 1.02B, Own Blockchain,0,0
656,indaHash IDH , 2.31M,0, 399.94M, Ethereum (ERC20),0,0
657,Unikoin Gold UKG , 2.3M,0, 145.35M, Ethereum (ERC20),0,0
658,Bezant BZNT , 2.3M,0, 688.1M, Ethereum (ERC20),0,0
659,adToken ADT , 2.3M,0, 794M, Own Blockchain,0,0
660,E-Currency Coin ECC , 2.3M,0, 25B, Own Blockchain,0,0
661,Starta STA , 2.29M,0, 5M, Waves,0,0
662,Mintcoin MINT , 2.29M,0, 24.95B, Own Blockchain,0,0
663,Abyss Token ABYSS , 2.28M,0, 228.01M, Ethereum (ERC20),0,0
664,PCHAIN PI , 2.28M,0, 419.95M, Ethereum (ERC20),0,0
665,SmartLands SLT , 2.28M,0, 5.1M, Stellar,0,0
666,BitNewChain BTN , 2.25M,0, 179.7M, Own Blockchain,0,0
667,Qwertycoin QWC , 2.23M,0, 104.83B, Own Blockchain,0,0
668,LBRY Credits LBC , 2.23M,0, 278.38M, Own Blockchain,0,0
669,Caspian CSP , 2.23M,0, 443.96M, Ethereum (ERC20),0,0
670,Qitmeer HLC , 2.23M,0, 389.01M, Ethereum (ERC20),0,0
671,Spectrecoin XSPEC , 2.22M,0, 22.45M, Own Blockchain,0,0
672,IHT Real Estate Protocol IHT , 2.21M,0, 962.06M, Ethereum (ERC20),0,0
673,Mass Vehicle Ledger MVL , 2.21M,0, 7.65B, Ethereum (ERC20),0,0
674,Nexty NTY , 2.18M,0, 151.6B, Own Blockchain,0,0
675,MIR COIN MIR , 2.17M,0, 620.04M, Own Blockchain,0,0
676,SDChain SDA , 2.17M,0, 1.5B, Own Blockchain,0,0
677,Locus Chain LOCUS , 2.16M,0, 768.85M, Ethereum (ERC20),0,0
678,Nasdacoin NSD , 2.15M,0, 20.79M, Own Blockchain,0,0
679,1World 1WO , 2.14M,0, 22.98M, Ethereum (ERC20),0,0
680,Insureum ISR , 2.13M,0, 214.05M, Ethereum (ERC20),0,0
681,Boolberry BBR , 2.13M,0, 13.21M, Own Blockchain,0,0
682,Sentivate SNTVT , 2.12M,0, 2.28B, Ethereum (ERC20),0,0
683,Lunyr LUN , 2.08M,0, 2.3M, Ethereum (ERC20),0,0
684,0chain ZCN , 2.07M,0, 40.12M, Own Blockchain,0,0
685,NAGA NGC , 2.07M,0, 71.75M, Ethereum (ERC20),0,0
686,Howdoo UDOO , 2.06M,0, 97.82M, Ethereum (ERC20),0,0
687,Bitcoin Confidential BC , 2.06M,0, 7.37B, Own Blockchain,0,0
688,CPChain CPC , 2.06M,0, 376.77M, Ethereum (ERC20),0,0
689,TE-FOOD TFD , 2.05M,0, 517.39M, Ethereum (ERC20),0,0
690,Flowchain FLC , 2.05M,0, 690.07K, Ethereum (ERC20),0,0
691,Callisto Network CLO , 2.03M,0, 2.08B, Own Blockchain,0,0
692,Cryptaur CPT , 2.02M,0, 11.47B, Ethereum (ERC20),0,0
693,CanonChain CZR , 2.01M,0, 559.74M, Ethereum (ERC20),0,0
694,Bloom BLT , 2M,0, 53.64M, Ethereum (ERC20),0,0
695,U.CASH UCASH , 1.99M,0, 10.35B, Ethereum (ERC20),0,0
696,BitTube TUBE , 1.99M,0, 207.73M, Own Blockchain,0,0
697,Blockium BOK , 1.98M,0, 649.5M, Ethereum (ERC20),0,0
698,IQeon IQN , 1.98M,0, 3.7M, Ethereum (ERC20),0,0
699,Apex CPX , 1.98M,0, 470.79M, NEO,0,0
700,Kleros PNK , 1.98M,0, 227.13M, Ethereum (ERC20),0,0
701,Wowbit WWB , 1.98M,0, 277.78M, NEO,0,0
702,SpankChain SPANK , 1.97M,0, 300.04M, Ethereum (ERC20),0,0
703,THORChain RUNE , 1.96M,0, 103.22M, Binance-Chain BEP-2,0,0
704,Footballcoin XFC , 1.96M,0, 374.66M, Own Blockchain,0,0
705,DECENT DCT , 1.94M,0, 51.31M, Own Blockchain,0,0
706,NuShares NSR , 1.94M,0, 2.78B, Own Blockchain,0,0
707,HoryouToken HYT , 1.93M,0, 1.09B, Ethereum (ERC20),0,0
708,AdShares ADS , 1.93M,0, 34.85M, Ethereum (ERC20),0,0
709,Deex DEEX , 1.92M,0, 56.53M, BitShares,0,0
710,Typerium TYPE , 1.91M,0, 1.62B, Ethereum (ERC20),0,0
711,Ecobit ECOB , 1.91M,0, 444.44M, NEM,0,0
712,Ink INK , 1.88M,0, 463.91M, QTUM,0,0
713,DaTa eXchange DTX , 1.88M,0, 76.96M, Ethereum (ERC20),0,0
714,Pandacoin PND , 1.88M,0, 32.51B, Own Blockchain,0,0
715,Yee YEE , 1.87M,0, 1.37B, Ethereum (ERC20),0,0
716,ImageCoin IMG , 1.87M,0, 13.98M, Own Blockchain,0,0
